doc_id,archivo,fuente,fecha_descarga,existe,num_paginas,chars_totales,chars_promedio_pagina,paginas_sin_texto,porcentaje_paginas_vacias,usable,nota
ley_32069,ley_32069.pdf,https://www.gob.pe/institucion/osce/colecciones/45029-ley-n-32069-ley-general-de-contrataciones-publicas,,True,63,214374,3402.8,0,0.0,True,
ds_001_2026_ef,ds_001_2026_ef.pdf,https://busquedas.elperuano.pe/dispositivo/NL/2474920-3,,True,16,110529,6908.1,0,0.0,True,
