backend,model,dimension,indexing_time_s,avg_query_latency_ms,recall@1,recall@3,recall@5,cost_usd
local,intfloat/multilingual-e5-base,768,265.1,27.0,0.6667,0.9333,0.9333,0.0
api,embed-multilingual-v3.0,1024,22.1,198.2,0.6667,0.9333,0.9333,0.0
