Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Contratos:ID del Contrato,Entrega compilada:Contratos:Artículos Contratados:ID,compiledRelease/contracts/0/items/0/position,Entrega compilada:Contratos:Artículos Contratados:Descripción,compiledRelease/contracts/0/items/0/statusDetails,compiledRelease/contracts/0/items/0/status,Entrega compilada:Contratos:Artículos Contratados:Clasificación:ID,Entrega compilada:Contratos:Artículos Contratados:Clasificación:Descripción,Entrega compilada:Contratos:Artículos Contratados:Clasificación:Esquema,Entrega compilada:Contratos:Artículos Contratados:Cantidad,compiledRelease/contracts/0/items/0/totalValue/amount,compiledRelease/contracts/0/items/0/totalValue/currency,compiledRelease/contracts/0/items/0/totalValue/currencyName,Entrega compilada:Contratos:Artículos Contratados:Unidad:ID,Entrega compilada:Contratos:Artículos Contratados:Unidad:Nombre,Entrega compilada:Contratos:Artículos Contratados:Unidad:Esquema
ocds-dgv273-seacev3-1205085,ocds-dgv273-seacev3-1205085-2026-09-23T10:18:02.703959-05:00,2395029,21248241,1,"CONTRATACION PARA LA EJECUCION DE LA OBRA: ¿CREACION DEL SERVICIOS DE ESPACIOS PÚBLICOS URBANOS EN PARQUE CENTRAL, DE CENTRO POBLADO CHALLUARACRA DISTRITO DE HUAMBOS DE LA PROVINCIA DE CHOTA DEL DEPARTAMENTO DE CAJAMARCA¿ CON CUI 2669678",Contratado,active,7212110100233077,CONSTRUCCION DE LOCAL COMUNAL,CUBSO,1.0,493249.74,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1188293,ocds-dgv273-seacev3-1188293-2026-09-23T10:18:02.453935-05:00,2381684,21203308,1,"SERVICIO DE IMPRIMACIÓN ASFÁLTICA MC-30 PARA LA EJECUCIÓN DE LA ACTIVIDAD: ¿TERCERA ETAPA DEL MANTENIMIENTO DE LA TRANSITABILIDAD VEHICULAR DE DIVERSAS CALLES Y AVENIDAS DEL DISTRITO DE CHICLAYO, PROVINCIA DE CHICLAYO, DEPARTAMENTO DE LAMBAYEQUE",Contratado,active,7214100100228204,SERVICIO DE IMPRIMACION ASFALTICA,CUBSO,50478.75,242298.0,PEN,Soles,25,M2,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1187725,ocds-dgv273-seacev3-1187725-2026-09-23T10:18:02.437183-05:00,2383587,21201762,1,"CONTRATACION PARA LA JECUCION DE LA OBRA: ""CREACION DEL SERVICIOS DE ESPACIOS PÚBLICOS URBANOS EN ESPACIOS SALUDABLE EN EL JR. SAN PEDRO Y AV. MIGUEL GRAU EN LA LOCALIDAD DE CAYHUAYNA ALTA DEL DISTRITO DE PILLCO MARCA"" CON CUI N° 2644767",Contratado,active,7214112800233081,CONSTRUCCION DE PARQUES Y PLAZAS,CUBSO,1.0,557249.3,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-1612-1,ocds-dgv273-seacev3-2026-1612-1-2026-09-23T10:18:02.293227-05:00,2386219,21200302,1,"EJECUCION DEL PROYECTO DE INVERSION: RECUPERACION POR DESASTRES DEL SERVICIO DE EDUCACION SECUNDARIA EN LA INSTITUCIÓN EDUCATIVA CIRO ALEGRIA, EN LA LOCALIDAD DE BUENOS AIRES DEL DISTRITO DE BUENOS AIRES - PROVINCIA DE MORROPON - DEPARTAMENTO DE PIURA, CUI 2529115",Contratado,active,7212140600233069,CONSTRUCCION DE CENTROS EDUCATIVOS,CUBSO,1.0,20614976.71,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1186562,ocds-dgv273-seacev3-1186562-2026-09-23T10:18:02.273224-05:00,2387249,21197864,1,"CONTRATACIÓN PARA LA EJECUCIÓN DE LA OBRA: RENOVACION DE PAVIMENTO; EN EL(LA) EN EL AMBITO DE LAS VIAS LOCALES DE LA ZONA 41 EN EL CENTRO POBLADO LA VICTORIA, DISTRITO DE LA VICTORIA, PROVINCIA LIMA, DEPARTAMENTO LIMA CON CUI N° 2705668",Contratado,active,7214100300342329,MEJORAMIENTO DE PISTAS Y VEREDAS,CUBSO,1.0,2859385.31,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-10248-67,ocds-dgv273-seacev3-2026-10248-67-2026-09-23T10:17:53.045906-05:00,2385446,21211299,4,UNIFORME DE NAVEGACIÓN,Contratado,active,,,,1.0,109150.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-10248-67,ocds-dgv273-seacev3-2026-10248-67-2026-09-23T10:17:53.045906-05:00,2385452,21211298,3,"UNIFORME DE DIARIO DE VERANO MASCULINO, FEMENINO",Contratado,active,,,,1.0,72400.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-10248-67,ocds-dgv273-seacev3-2026-10248-67-2026-09-23T10:17:53.045906-05:00,2385442,21211296,1,"BLUSAS, CAMISAS Y PANTALONES BLANCOS",Contratado,active,,,,1.0,49915.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-10248-67,ocds-dgv273-seacev3-2026-10248-67-2026-09-23T10:17:53.045906-05:00,2387567,21211297,2,UNIFORME DE DIARIO INVIERNO FEMENINO Y MASCULINO,Contratado,active,,,,1.0,91980.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-10248-67,ocds-dgv273-seacev3-2026-10248-67-2026-09-23T10:17:53.045906-05:00,2388143,21211300,5,CASACA NEGRA,Resuelto,terminated,,,,1.0,43800.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-1731-36,ocds-dgv273-seacev3-2026-1731-36-2026-09-23T10:17:52.886472-05:00,2388678,21198144,1,"EJECUCIÓN DE OBRA DEL PROYECTO MEJORAMIENTO DEL SERVICIO DE MOVILIDAD URBANA EN EL JIRÓN HUANCANE TRAMO (AV. CIRCUNVALACIÓN I - AV. TAMBOPATA) DISTRITO DE JULIACA DE LA PROVINCIA DE SAN ROMÁN DEL DEPARTAMENTO DE PUNO, CON CUI N° 2695292",Contratado,active,7214100300342329,MEJORAMIENTO DE PISTAS Y VEREDAS,CUBSO,1.0,2727639.18,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-200-8,ocds-dgv273-seacev3-2026-200-8-2026-09-23T10:17:52.814238-05:00,2383500,21200337,1,"EJECUCION DE LA OBRA: SALDO DE OBRA MEJORAMIENTO DEL CAMAL MUNICIPAL EN LA CIUDAD DE CASMA - DISTRITO CASMA, PROVINCIA DE CASMA - ANCASH, CUI 2133256",Contratado,active,7212150800365403,AMPLIACION DE CAMAL,CUBSO,1.0,2013640.56,PEN,Soles,25,M2,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-200145-7,ocds-dgv273-seacev3-2026-200145-7-2026-09-23T10:17:52.720765-05:00,2386628,21200291,1,"EJECUCIÓN DE LA IOARR: CONSTRUCCIÓN DE ZONA DE ESTACIONAMIENTO, ZONA DE CAMPAMENTO Y MIRADOR TURÍSTICO,REPARACIÓN DE SENDERO, ADEMÁS DE OTROS ACTIVOS EN EL(LA) RECURSO TURÍSTICO LAGUNA 69, DISTRITO DE YUNGAY, PROVINCIA YUNGAY, DEPARTAMENTO ANCASH - CUI N 2451236",Contratado,active,7212141100391326,CONSTRUCCION DE INFRAESTRUCTURA TURISTICA,CUBSO,1.0,3176272.01,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1192077,ocds-dgv273-seacev3-1192077-2026-09-23T10:17:41.628879-05:00,2388731,21212821,1,"EJECUCION DEL SALDO DE OBRA DE LA IOARR: REMODELACIÓN DE ALAMEDA,ADQUISICIÓN DE SEÑALIZACIÓN TURÍSTICA DE INTERPRETACIÓN, EN EL(LA) BOULEVARD TACNA PUCALLPA DISTRITO DE CALLERÍA, PROVINCIA CORONEL PORTILLO, DEPARTAMENTO UCAYALI -CUI N. 2637109",Contratado,active,7212141100391326,CONSTRUCCION DE INFRAESTRUCTURA TURISTICA,CUBSO,1.0,1869056.13,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1187849,ocds-dgv273-seacev3-1187849-2026-09-23T10:17:41.311276-05:00,2380881,21201971,2,"ADQUISICION DE SUMINISTRO DE COMBUSTIBLE PARA EL AÑO 2026, PARA LAS DIFERENTES AREAS DE LA MUNICIPALIDAD PROVINCIAL DE CHINCHEROS-APURIMACDE LA MUNICIPALIDAD PROVINCIAL DE CHINCHEROS.",Resuelto,terminated,,,,20135.0,245000.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-1471-3,ocds-dgv273-seacev3-2026-1471-3-2026-09-23T10:17:41.202834-05:00,2384234,21198043,1,"SUPERVISIÓN DE LA EJECUCIÓN DE LA OBRA: EXPEDIENTE TECNICO REFORMULADO DEL SALDO DE OBRA DENOMINADO: ""RECUPERACIÓN DEL LOCAL ESCOLAR Nº392, SEÑOR DE LUREN, CON CÓDIGO LOCAL N°349986, DISTRITO DE SUPE, PROVINCIA DE BARRANCA, DEPARTAMENTO DE LIMA"". (Código único de Inversiones (CUI): 2528582)",Contratado,active,8110150800337178,SUPERVISION DE OBRA DE CONSTRUCCION DE CENTROS EDUCATIVOS,CUBSO,1.0,174580.1,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1187541,ocds-dgv273-seacev3-1187541-2026-09-23T10:17:41.169207-05:00,2385204,21201374,1,"EJECUCION DE LA OBRA: MEJORAMIENTO DEL SERVICIO DE PROVISIÓN DE AGUA PARA RIEGO EN EL CANAL SAN MIGUEL, DE LA LOCALIDAD DE LOS FAIQUES DE HUALQUIRO, DISTRITO DE HUARMACA, PROVINCIA DE HUANCABAMBA, DEPARTAMENTO DE PIURA - CUI N°2628543",Contratado,active,7212120300364491,AMPLIACION DE CANALES DE RIEGO,CUBSO,1.0,1860670.19,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-10457-4,ocds-dgv273-seacev3-2026-10457-4-2026-09-23T10:17:30.636298-05:00,2381123,21200211,1,ADQUISICION DE SUMINISTRO DE COMBUSTIBLE DIÉSEL B5 S-50 Y GASOHOL REGULAR PARA EL SERVICIO DE CASA FUERZA Y PARA EL SERVICIO DE TRANSPORTES Y EMERGENCIAS DEL HOSPITAL DEPARTAMENTAL DE HUANCAVELICA,Contratado,active,,,,2.0,288600.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1185530,ocds-dgv273-seacev3-1185530-2026-09-23T10:17:19.100762-05:00,2390359,21199061,1,"EJECUCIÓN DE OBRA ADQUISICIÓN DE SEMÁFORO; RENOVACIÓN DE SEÑALES DE TRÁFICO; EN EL(LA) EN LAS VÍAS Y ÓVALOS PRINCIPALES. EN EL CERCADO DEL DISTRITO DE JULIACA, PROVINCIA SAN ROMÁN, DEPARTAMENTO PUNO, CON CUI 2650855",Contratado,active,7214100200369058,CONSTRUCCION DE SISTEMA DE SEMAFORIZACION,CUBSO,1.0,911082.82,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-1608-4,ocds-dgv273-seacev3-2026-1608-4-2026-09-23T10:17:19.086534-05:00,2379623,21197860,1,CONTRATACION DEL SUMINISTRO DE COMBUSTIBLE (DIESEL B5 S-50) PARA LA UNIDAD DEL DESPACHO DE ALCALDIA Y CAMION DE LA GERENCIA DE DESARROLLO SOCIAL Y SERVICIOS MUNICIPALES DE LA MUNICIPALIDAD DISTRITAL SAN MIGUEL DE EL FAIQUE,Contratado,active,1510150500233280,DIESEL B5 S-50,CUBSO,5924.0,100708.0,PEN,Soles,13,Galon,PE-SEACE3-UnidadMedida
