Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Adjudicaciones:ID de Adjudicación,Entrega compilada:Adjudicaciones:Valor:Monto,Entrega compilada:Adjudicaciones:Valor:Moneda,Entrega compilada:Adjudicaciones:Valor:Nombre de Moneda,Entrega compilada:Adjudicaciones:Fecha de adjudicación
ocds-dgv273-seacev3-1205085,ocds-dgv273-seacev3-1205085-2026-09-23T10:18:02.703959-05:00,1205085-1780319,493249.74,PEN,Soles,2026-04-14T00:00:00-05:00
ocds-dgv273-seacev3-1188293,ocds-dgv273-seacev3-1188293-2026-09-23T10:18:02.453935-05:00,1188293-20606558440,242298.0,PEN,Soles,2026-03-05T00:00:00-05:00
ocds-dgv273-seacev3-1187725,ocds-dgv273-seacev3-1187725-2026-09-23T10:18:02.437183-05:00,1187725-1767793,557249.3,PEN,Soles,2026-02-25T00:00:00-05:00
ocds-dgv273-seacev3-1187256,ocds-dgv273-seacev3-1187256-2026-09-23T10:18:02.325694-05:00,1187256-1770808,919500.0,PEN,Nuevos Soles,2026-04-30T00:00:00-05:00
ocds-dgv273-seacev3-2026-1612-1,ocds-dgv273-seacev3-2026-1612-1-2026-09-23T10:18:02.293227-05:00,1186709-1772946,20614976.71,PEN,Soles,2026-03-20T00:00:00-05:00
ocds-dgv273-seacev3-1186562,ocds-dgv273-seacev3-1186562-2026-09-23T10:18:02.273224-05:00,1186562-1768212,2859385.31,PEN,Soles,2026-03-18T00:00:00-05:00
ocds-dgv273-seacev3-2026-10248-67,ocds-dgv273-seacev3-2026-10248-67-2026-09-23T10:17:53.045906-05:00,1191391-10403040776,43800.0,PEN,Soles,2026-03-25T00:00:00-05:00
ocds-dgv273-seacev3-2026-10248-67,ocds-dgv273-seacev3-2026-10248-67-2026-09-23T10:17:53.045906-05:00,1191391-20297955170,109150.0,PEN,Soles,2026-03-25T00:00:00-05:00
ocds-dgv273-seacev3-2026-10248-67,ocds-dgv273-seacev3-2026-10248-67-2026-09-23T10:17:53.045906-05:00,1191391-20306246535,91980.0,PEN,Soles,2026-03-25T00:00:00-05:00
ocds-dgv273-seacev3-2026-10248-67,ocds-dgv273-seacev3-2026-10248-67-2026-09-23T10:17:53.045906-05:00,1191391-20557976095,122315.0,PEN,Soles,2026-03-25T00:00:00-05:00
ocds-dgv273-seacev3-2026-1731-36,ocds-dgv273-seacev3-2026-1731-36-2026-09-23T10:17:52.886472-05:00,1186943-1767860,2727639.18,PEN,Soles,2026-03-10T00:00:00-05:00
ocds-dgv273-seacev3-2026-200-8,ocds-dgv273-seacev3-2026-200-8-2026-09-23T10:17:52.814238-05:00,1186734-1768465,2013640.56,PEN,Soles,2026-03-02T00:00:00-05:00
ocds-dgv273-seacev3-2026-200145-7,ocds-dgv273-seacev3-2026-200145-7-2026-09-23T10:17:52.720765-05:00,1186637-1768418,3176272.01,PEN,Soles,2026-03-04T00:00:00-05:00
ocds-dgv273-seacev3-1192077,ocds-dgv273-seacev3-1192077-2026-09-23T10:17:41.628879-05:00,1192077-1770964,1869056.13,PEN,Soles,2026-03-17T00:00:00-05:00
ocds-dgv273-seacev3-1187849,ocds-dgv273-seacev3-1187849-2026-09-23T10:17:41.311276-05:00,1187849-20612857840,245000.0,PEN,Soles,2026-02-23T00:00:00-05:00
ocds-dgv273-seacev3-2026-1471-3,ocds-dgv273-seacev3-2026-1471-3-2026-09-23T10:17:41.202834-05:00,1186817-20573023481,174580.1,PEN,Soles,2026-02-25T00:00:00-05:00
ocds-dgv273-seacev3-1187541,ocds-dgv273-seacev3-1187541-2026-09-23T10:17:41.169207-05:00,1187541-1767003,1860670.19,PEN,Soles,2026-02-26T00:00:00-05:00
ocds-dgv273-seacev3-2026-10457-4,ocds-dgv273-seacev3-2026-10457-4-2026-09-23T10:17:30.636298-05:00,1186578-10431834192,288600.0,PEN,Soles,2026-02-13T00:00:00-05:00
ocds-dgv273-seacev3-1241869,ocds-dgv273-seacev3-1241869-2026-09-23T10:17:22.338248-05:00,1241869-20610573224,81000.0,PEN,Soles,2026-09-22T00:00:00-05:00
ocds-dgv273-seacev3-2026-1343-33,ocds-dgv273-seacev3-2026-1343-33-2026-09-23T10:17:19.216357-05:00,1187680-20605585290,480000.0,PEN,Soles,2026-05-27T00:00:00-05:00
ocds-dgv273-seacev3-1185530,ocds-dgv273-seacev3-1185530-2026-09-23T10:17:19.100762-05:00,1185530-1768947,911082.82,PEN,Soles,2026-03-17T00:00:00-05:00
ocds-dgv273-seacev3-2026-1608-4,ocds-dgv273-seacev3-2026-1608-4-2026-09-23T10:17:19.086534-05:00,1186515-10032379589,100708.0,PEN,Soles,2026-02-13T00:00:00-05:00
ocds-dgv273-seacev3-1187816,ocds-dgv273-seacev3-1187816-2026-09-23T10:17:18.985416-05:00,1187816-20607964271,459000.0,PEN,Soles,2026-02-20T00:00:00-05:00
ocds-dgv273-seacev3-1187816,ocds-dgv273-seacev3-1187816-2026-09-23T10:17:18.985416-05:00,1187816-20452440831,459000.0,PEN,Soles,2026-02-20T00:00:00-05:00
ocds-dgv273-seacev3-1187816,ocds-dgv273-seacev3-1187816-2026-09-23T10:17:18.985416-05:00,1187816-20563136562,538650.0,PEN,Soles,2026-04-06T00:00:00-05:00
ocds-dgv273-seacev3-1190053,ocds-dgv273-seacev3-1190053-2026-09-23T10:17:09.379277-05:00,1190053-20613658751,90498.0,PEN,Soles,2026-02-26T00:00:00-05:00
ocds-dgv273-seacev3-2026-423-2,ocds-dgv273-seacev3-2026-423-2-2026-09-23T10:17:09.304671-05:00,1189646-1771297,3332141.76,PEN,Soles,2026-03-20T00:00:00-05:00
ocds-dgv273-seacev3-2026-1160-3,ocds-dgv273-seacev3-2026-1160-3-2026-09-23T10:17:09.072434-05:00,1191986-20601253608,2205205.75,PEN,Soles,2026-03-17T00:00:00-05:00
ocds-dgv273-seacev3-1186109,ocds-dgv273-seacev3-1186109-2026-09-23T10:17:08.962841-05:00,1186109-1765574,2061203.68,PEN,Soles,2026-02-16T00:00:00-05:00
ocds-dgv273-seacev3-1186423,ocds-dgv273-seacev3-1186423-2026-09-23T10:17:08.746211-05:00,1186423-20601726174,4617065.34,PEN,Soles,2026-04-30T00:00:00-05:00
ocds-dgv273-seacev3-1186267,ocds-dgv273-seacev3-1186267-2026-09-23T10:17:08.689530-05:00,1186267-20611549572,476700.0,PEN,Soles,2026-02-26T00:00:00-05:00
ocds-dgv273-seacev3-2026-1196-5,ocds-dgv273-seacev3-2026-1196-5-2026-09-23T10:16:57.008196-05:00,1189565-1771681,3215494.14,PEN,Soles,2026-04-08T00:00:00-05:00
ocds-dgv273-seacev3-1201704,ocds-dgv273-seacev3-1201704-2026-09-22T10:12:29.884518-05:00,1201704-1780421,6486066.28,PEN,Soles,2026-04-20T00:00:00-05:00
ocds-dgv273-seacev3-1188870,ocds-dgv273-seacev3-1188870-2026-09-22T10:12:29.664474-05:00,1188870-1767178,353369.71,PEN,Soles,2026-02-23T00:00:00-05:00
