Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Partes involucradas:ID de Entidad,Entrega compilada:Partes involucradas:Identificadores adicionales:ID,Entrega compilada:Partes involucradas:Identificadores adicionales:Esquema,Entrega compilada:Partes involucradas:Identificadores adicionales:Nombre Legal
ocds-dgv273-seacev3-1234860,ocds-dgv273-seacev3-1234860-2026-09-23T10:18:06.084926-05:00,PE-CONSUCODE-1584,20154477374,PE-RUC,MUNICIPALIDAD PROVINCIAL DE PIURA
ocds-dgv273-seacev3-1205085,ocds-dgv273-seacev3-1205085-2026-09-23T10:18:02.703959-05:00,PE-CONSUCODE-673,20224199946,PE-RUC,MUNICIPALIDAD DISTRITAL DE HUAMBOS
ocds-dgv273-seacev3-1188293,ocds-dgv273-seacev3-1188293-2026-09-23T10:18:02.453935-05:00,PE-CONSUCODE-43,20479569780,PE-RUC,GOBIERNO REGIONAL DE LAMBAYEQUE SEDE CENTRAL
ocds-dgv273-seacev3-1187725,ocds-dgv273-seacev3-1187725-2026-09-23T10:18:02.437183-05:00,PE-CONSUCODE-200092,20447367727,PE-RUC,MUNICIPALIDAD DISTRITAL DE PILLCO MARCA
ocds-dgv273-seacev3-1187256,ocds-dgv273-seacev3-1187256-2026-09-23T10:18:02.325694-05:00,PE-CONSUCODE-1053,20148420719,PE-RUC,MUNICIPALIDAD DISTRITAL DE MARCONA
ocds-dgv273-seacev3-2026-1612-1,ocds-dgv273-seacev3-2026-1612-1-2026-09-23T10:18:02.293227-05:00,PE-CONSUCODE-1612,20171662631,PE-RUC,MUNICIPALIDAD DISTRITAL DE BUENOS AIRES - MORROPON
ocds-dgv273-seacev3-1186562,ocds-dgv273-seacev3-1186562-2026-09-23T10:18:02.273224-05:00,PE-CONSUCODE-1321,20131368071,PE-RUC,MUNICIPALIDAD DISTRITAL DE LA VICTORIA - LIMA
ocds-dgv273-seacev3-2026-10248-67,ocds-dgv273-seacev3-2026-10248-67-2026-09-23T10:17:53.045906-05:00,PE-CONSUCODE-10248,20153408191,PE-RUC,MARINA DE GUERRA DEL PERU
ocds-dgv273-seacev3-2026-1731-36,ocds-dgv273-seacev3-2026-1731-36-2026-09-23T10:17:52.886472-05:00,PE-CONSUCODE-1731,20165195290,PE-RUC,MUNICIPALIDAD PROVINCIAL DE SAN ROMAN - JULIACA
ocds-dgv273-seacev3-2026-200-8,ocds-dgv273-seacev3-2026-200-8-2026-09-23T10:17:52.814238-05:00,PE-CONSUCODE-200,20174929697,PE-RUC,MUNICIPALIDAD PROVINCIAL DE CASMA
