Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Contratos:ID del Contrato,Entrega compilada:Contratos:Artículos Contratados:ID,compiledRelease/contracts/0/items/0/totalValue/exchangeRates/0/currency,compiledRelease/contracts/0/items/0/totalValue/exchangeRates/0/rate,_mes_origen
ocds-dgv273-seacev3-1191688,ocds-dgv273-seacev3-1191688-2026-03-01T09:59:18.122290-05:00,2378823,21211835,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191593,ocds-dgv273-seacev3-1191593-2026-03-01T09:59:16.325575-05:00,2378840,21211747,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191691,ocds-dgv273-seacev3-1191691-2026-03-01T09:59:09.478132-05:00,2378836,21211849,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-200344-34,ocds-dgv273-seacev3-2026-200344-34-2026-03-01T09:58:57.727960-05:00,2378723,21211305,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1190545,ocds-dgv273-seacev3-1190545-2026-02-28T10:11:23.421681-05:00,2378261,21209121,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191116,ocds-dgv273-seacev3-1191116-2026-02-28T10:11:13.000141-05:00,2378583,21210628,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1189584,ocds-dgv273-seacev3-1189584-2026-02-28T10:11:01.724734-05:00,2378181,21206337,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191100,ocds-dgv273-seacev3-1191100-2026-02-28T10:10:50.453518-05:00,2378573,21210541,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191104,ocds-dgv273-seacev3-1191104-2026-02-28T10:10:37.069064-05:00,2378576,21210596,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1190727,ocds-dgv273-seacev3-1190727-2026-02-28T10:10:26.383589-05:00,2378358,21209801,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1190389,ocds-dgv273-seacev3-1190389-2026-02-28T10:10:26.318195-05:00,2378264,21208858,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1922-10,ocds-dgv273-seacev3-2026-1922-10-2026-02-26T10:09:24.325630-05:00,2377950,21208257,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1190158,ocds-dgv273-seacev3-1190158-2026-02-25T10:09:03.321670-05:00,2377745,21208367,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1186218,ocds-dgv273-seacev3-1186218-2026-02-22T09:58:47.973759-05:00,2377552,21197607,PEN,3.9699367225,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1189435,ocds-dgv273-seacev3-1189435-2026-02-22T09:58:44.782034-05:00,2377548,21205942,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1188860,ocds-dgv273-seacev3-1188860-2026-02-21T10:03:20.522344-05:00,2377384,21204555,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-348,ocds-dgv273-seacev3-2026-1947-348-2026-02-21T10:02:33.776964-05:00,2377388,21204115,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1188751,ocds-dgv273-seacev3-1188751-2026-02-20T10:10:04.790481-05:00,2377143,21204336,PEN,3.356975,2026-02_seace_v3_csv_es
