Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Licitación:ID de licitación,Entrega compilada:Licitación:Artículos que se adquirirán:ID,compiledRelease/tender/items/0/position,Entrega compilada:Licitación:Artículos que se adquirirán:Descripción,compiledRelease/tender/items/0/statusDetails,compiledRelease/tender/items/0/status,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificación:ID,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificación:Descripción,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificación:Esquema,Entrega compilada:Licitación:Artículos que se adquirirán:Cantidad,compiledRelease/tender/items/0/totalValue/amount,compiledRelease/tender/items/0/totalValue/currency,compiledRelease/tender/items/0/totalValue/currencyName,Entrega compilada:Licitación:Artículos que se adquirirán:Unidad:ID,Entrega compilada:Licitación:Artículos que se adquirirán:Unidad:Nombre,Entrega compilada:Licitación:Artículos que se adquirirán:Unidad:Esquema,_mes_origen
ocds-dgv273-seacev3-1197874,ocds-dgv273-seacev3-1197874-2026-04-22T10:34:59.990467-05:00,1197874,21227176,1,CONTRATACION DE SERVICIO DE MEDICO ESPECIALISTA EN PSIQUIATRIA PARA EL CENTRO DE SALUD MENTAL COMUNITARIO DE CARHUAMAYO - RED DE SALUD JUNÍN - RED DE SALUD JUNÍN - AÑO 2026.,CONTRATADO,complete,8512170100226764.0,SERVICIO DE EVALUACION PSICOLOGICA,CUBSO,1.0,90000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1194646,ocds-dgv273-seacev3-1194646-2026-04-22T10:34:59.408076-05:00,1194646,21219622,1,"CONTRATACIÓN DEL SUMINISTRO DE BIENES: ¿ADQUISICIÓN DE LECHE EVAPORADA ENTERA DESTINADA AL PROGRAMA DEL VASO DE LECHE ¿ PVL, CORRESPONDIENTE AL EJERCICIO 2026",CONTRATADO,complete,5013170200307453.0,LECHE EVAPORADA ENTERA X 400 g  APROX.,CUBSO,93450.0,411180.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1201573,ocds-dgv273-seacev3-1201573-2026-04-22T10:34:54.071815-05:00,1201573,21238006,1,"EJECUCIÓN DE LA IOARR: ¿CONSTRUCCIÓN DE SISTEMA DE DRENAJE; EN EL(LA) AV. VÍCTOR TEMOCHE INTERCEPCIÓN CON CALLE 05, AA.HH. VICENTE CHUNGA ALDANA DISTRITO DE SECHURA, PROVINCIA SECHURA, DEPARTAMENTO PIURA¿ CON CUI N°2722523¿",CONTRATADO,complete,7215260200233157.0,CONSTRUCCION DE SISTEMAS DE DRENAJE PLUVIAL,CUBSO,1.0,1265259.12,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1203358,ocds-dgv273-seacev3-1203358-2026-04-22T10:34:53.623887-05:00,1203358,21243679,1,"CONTRATACIÓN PARA LA EJECUCIÓN DE LA OBRA: ¿MEJORAMIENTO DE LOS SERVICIOS EDUCATIVOS DE LA INSTITUCIÓN EDUCATIVA INICIAL I.E.I. N° 330 - DEL CENTRO POBLADO DE ANGASMARCA, DISTRITO DE HUACAR - AMBO - HUANUCO¿ CON CUI Nº2333440",NULO,unsuccessful,7212140600233069.0,CONSTRUCCION DE CENTROS EDUCATIVOS,CUBSO,1.0,4381717.94,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1195240,ocds-dgv273-seacev3-1195240-2026-04-22T10:34:53.534609-05:00,1195240,21221170,1,ADQUISICIÓN DE SUMINISTRO DE ALIMENTOS PARA EL PROGRAMA SOCIAL DEL VASO DE LECHE DE LA MUNICIPALIDAD DISTRITAL DE KOSÑIPATA PARA EL AÑO 2026,CONTRATADO,complete,,,,1.0,128659.76,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1196460,ocds-dgv273-seacev3-1196460-2026-04-22T10:34:53.050442-05:00,1196460,21223906,1,"ADQUISICIÓN DE COMBUSTIBLE PARA LA META (0008) MEJORAMIENTO DEL SERVICIO DE LIMPIEZA PUBLICA EN LAS CUENCAS DE QUELLOUNO, CHIRUMBIA, CHAPO Y LACCO YAVERO DEL DISTRITO DE QUELLOUNO DE LA PROVINCIA DE LA CONVENCIÓN DEL DEPARTAMENTO DE CUSCO.",CONTRATADO,complete,,,,2.0,139800.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1194361,ocds-dgv273-seacev3-1194361-2026-04-22T10:34:53.035746-05:00,1194361,21219061,1,"SERVICIO DE RECOJO, TRANSPORTE Y DISPOSICIÓN FINAL DE RESIDUOS SÓLIDOS BIOCONTAMINADOS Y ESPECIALES DE LOS ESTABLECIMIENTOS DE SALUD DE LA DIRECCIÓN DE SALUD APURÍMAC II ¿ ANDAHUAYLAS",CONTRATADO,complete,7612200300232630.0,"SERVICIO DE DISPOSICION FINAL DE RESIDUOS SOLIDOS  HOSPITALARIOS (RECOJO, TRANSPORTE, TRATAMIENTO)",CUBSO,1.0,200000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-10591-7,ocds-dgv273-seacev3-2026-10591-7-2026-04-22T10:34:52.638098-05:00,1193409,21216412,1,ADQUISICIÓN DE UNIFORMES PARA EL PERSONAL DE LA DIRECCIÓN REGIONAL DE EDUCACIÓN SAN MARTÍN Y LA UNIDAD DE GESTIÓN EDUCATIVA LOCAL DE MOYOBAMBA.,NULO,unsuccessful,5310279900390290.0,UNIFORME PARA EL PERSONAL ADMINISTRATIVO,CUBSO,170.0,79779.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1201027,ocds-dgv273-seacev3-1201027-2026-04-22T10:34:52.235191-05:00,1201027,21236580,1,RESPUESTOS Y COMPONENTES PARA UNIDADES VEHICULARES,CONTRATADO,complete,2517200200216376.0,MUELLE PARA OMNIBUS,CUBSO,118.0,90980.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1200350,ocds-dgv273-seacev3-1200350-2026-04-22T10:34:50.206057-05:00,1200350,21234692,1,SUPERVISION DE OBRA DE REPARACION DE VIAS VECINALES,CONTRATADO,complete,7214110600393492.0,SUPERVISION DE OBRA DE REPARACION DE VIAS VECINALES,CUBSO,1.0,4072816.28,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-03_seace_v3_csv_es
