Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Etiqueta de entrega,Entrega compilada:Fecha de entrega,Entrega compilada:Open Contracting ID,compiledRelease/publishedDate,Entrega compilada:Tipo de inicio,Entrega compilada:Comprador:ID de Organización,Entrega compilada:Comprador:Nombre de la Organización,Entrega compilada:Planeación:Presupuesto:Fuente del Presupuesto,Entrega compilada:Licitación:ID de licitación,Entrega compilada:Licitación:Título de la licitación,Entrega compilada:Licitación:Descripción de la licitación,Entrega compilada:Licitación:Entidad contratante:ID de Organización,Entrega compilada:Licitación:Entidad contratante:Nombre de la Organización,compiledRelease/tender/datePublished,Entrega compilada:Licitación:Método de contratación,Entrega compilada:Licitación:Detalles del método de contratación,Entrega compilada:Licitación:Categoría principal de contratación,Entrega compilada:Licitación:Categorías adicionales de contratación,Entrega compilada:Licitación:Valor:Monto,Entrega compilada:Licitación:Valor:Moneda,Entrega compilada:Licitación:Valor:Nombre de Moneda,compiledRelease/tender/value/amount_PEN,Entrega compilada:Licitación:Periodo de licitación:Fecha de inicio,Entrega compilada:Licitación:Periodo de licitación:Fecha de fin,Entrega compilada:Licitación:Número de licitantes,Entrega compilada:Licitación:Información Protegida,Entrega compilada:Segmentación:ID,Entrega compilada:Segmentación:Criterio,Entrega compilada:Planeación:Presupuesto:Monto:Monto,Entrega compilada:Planeación:Presupuesto:Monto:Moneda,Entrega compilada:Planeación:Presupuesto:Monto:Nombre de Moneda,Entrega compilada:Licitación:Periodo de consulta:Fecha de inicio,Entrega compilada:Licitación:Periodo de consulta:Fecha de fin,Entrega compilada:Licitación:Periodo de consulta:Duración (días),Entrega compilada:Planeación:Presupuesto:Título del Proyecto,Entrega compilada:Planeación:Presupuesto:Identificador de proyecto,mes_origen
ocds-dgv273-seacev3-2026-10489-3,ocds-dgv273-seacev3-2026-10489-3-2026-04-11T10:14:59.855677-05:00,compiled,2026-04-11T10:14:59.855662-05:00,ocds-dgv273-seacev3-2026-10489-3,2026-04-11T10:14:59.855682-05:00,tender,PE-CONSUCODE-10489,GOBIERNO REGIONAL DE LA LIBERTAD - GERENCIA  REGIONAL  DE AGRICULTURA,Fondos Públicos,1192782,LP-ABR-2-2026-GRLL-GGR-GRAG-1,ADQUISICIÓN DE PRODUCTO LÁCTEO (LECHE EVAPORADA ENTERA X 400 GRAMOS APROX.) PARA EL PERSONAL DE LA GERENCIA REGIONAL DE AGRICULTURA DE LA LIBERTAD,PE-CONSUCODE-10489,GOBIERNO REGIONAL DE LA LIBERTAD - GERENCIA  REGIONAL  DE AGRICULTURA,2026-03-03T19:09:00-05:00,,Licitación Pública Abreviada,goods,goods,162400.0,PEN,Soles,162400.0,2026-03-03T00:00:00-05:00,2026-03-03T00:00:00-05:00,8.0,False,2026-03,añoInicioConvocatoria;mesInicioConvocatoria,162400.0,PEN,Soles,2026-03-04T00:01:00-05:00,2026-03-06T23:59:00-05:00,2.0,,,2026-03
ocds-dgv273-seacev3-1199955,ocds-dgv273-seacev3-1199955-2026-04-11T10:14:58.708187-05:00,compiled,2026-04-11T10:14:58.708171-05:00,ocds-dgv273-seacev3-1199955,2026-04-11T10:14:58.708192-05:00,tender,PE-CONSUCODE-200279,INSTITUTO DE VIALIDAD MUNICIPAL PROVINCIAL DE HUARI,Fondos Públicos,1199955,CP-ABR-8-2026-IVPHI/CS-1,"SERVICIO DE MANTENIMIENTO VIAL RUTINARIO DEL CAMINO VECINAL, TRAMO: EMP. PE 14 A MASIN (KM 00+200) - DV. HUARIPAMPA - HUAYO - SHOCSHI (KM 13+270) DE 13.070 KM",PE-CONSUCODE-200279,INSTITUTO DE VIALIDAD MUNICIPAL PROVINCIAL DE HUARI,2026-03-27T08:57:00-05:00,,Concurso Público Abreviado,services,services,82602.0,PEN,Soles,82602.0,2026-03-27T00:00:00-05:00,2026-03-27T00:00:00-05:00,7.0,False,2026-03,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-03-28T00:01:00-05:00,2026-04-01T23:59:00-05:00,4.0,,,2026-03
ocds-dgv273-seacev3-1199943,ocds-dgv273-seacev3-1199943-2026-04-11T10:14:58.699057-05:00,compiled,2026-04-11T10:14:58.699041-05:00,ocds-dgv273-seacev3-1199943,2026-04-11T10:14:58.699062-05:00,tender,PE-CONSUCODE-200279,INSTITUTO DE VIALIDAD MUNICIPAL PROVINCIAL DE HUARI,Fondos Públicos,1199943,CP-ABR-5-2026-IVPHI/CS-1,"SERVICIO DE MANTENIMIENTO VIAL RUTINARIO DEL CAMINO VECINAL, TRAMO: EMP. PE - 14 A (UCO) - SANTA VILLA CRUZ - HUACCHIS (KM 34+420); HUACCHIS (KM 35+130) - YANAS (KM 41+810); YANAS (KM 42+060) - VISCAS (KM 51+260); VISCAS (KM 51+470) - PAUCAS (KM 67+930) DE 66.760 KM.",PE-CONSUCODE-200279,INSTITUTO DE VIALIDAD MUNICIPAL PROVINCIAL DE HUARI,2026-03-27T08:56:00-05:00,,Concurso Público Abreviado,services,services,421923.0,PEN,Soles,421923.0,2026-03-27T00:00:00-05:00,2026-03-27T00:00:00-05:00,14.0,False,2026-03,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-03-28T00:01:00-05:00,2026-04-01T23:59:00-05:00,4.0,,,2026-03
ocds-dgv273-seacev3-1197649,ocds-dgv273-seacev3-1197649-2026-04-11T10:14:58.605027-05:00,compiled,2026-04-11T10:14:58.605012-05:00,ocds-dgv273-seacev3-1197649,2026-04-11T10:14:58.605032-05:00,tender,PE-CONSUCODE-804,MUNICIPALIDAD DISTRITAL DE VELILLE,Fondos Públicos,1197649,LP-ABR-3-2026-MDV-OC-1,CONTRATACIÓN DE BLOCK DE SILLAR PARA LA AMPLIFICAN DE CASA Y CENTROS CULTURALES.,PE-CONSUCODE-804,MUNICIPALIDAD DISTRITAL DE VELILLE,2026-03-18T16:36:00-05:00,,Licitación Pública Abreviada,goods,goods,147000.0,PEN,Soles,147000.0,2026-03-18T00:00:00-05:00,2026-03-18T00:00:00-05:00,4.0,False,2026-03,añoInicioConvocatoria;mesInicioConvocatoria,,,,2026-03-19T00:01:00-05:00,2026-03-23T23:59:00-05:00,4.0,,,2026-03
ocds-dgv273-seacev3-1197883,ocds-dgv273-seacev3-1197883-2026-04-11T10:14:58.419796-05:00,compiled,2026-04-11T10:14:58.419781-05:00,ocds-dgv273-seacev3-1197883,2026-04-11T10:14:58.419801-05:00,tender,PE-CONSUCODE-1814,MUNICIPALIDAD DISTRITAL DE BUENOS AIRES - PICOTA,Fondos Públicos,1197883,CP-ABR-1-2026-MDBA/C-1,CREACION DEL SERVICIO DE DRENAJE PLUVIAL EN LA ZONA URBANA DE  CENTRO POBLADO EL MIRADOR DISTRITTO DE BUENOS AIRES DE LA PROVINCIA DE PICOTA DEPARTAMENTO DE SAN MARTIN¿,PE-CONSUCODE-1814,MUNICIPALIDAD DISTRITAL DE BUENOS AIRES - PICOTA,2026-03-18T23:06:00-05:00,,Concurso Público Abreviado,services,services,180000.0,PEN,Soles,180000.0,2026-03-18T00:00:00-05:00,2026-03-18T00:00:00-05:00,2.0,False,2026-03,añoInicioConvocatoria;mesInicioConvocatoria,180000.0,PEN,Soles,2026-03-19T00:01:00-05:00,2026-03-23T23:59:00-05:00,4.0,CREACION DEL SERVICIO DE DRENAJE PLUVIAL EN LA ZONA URBANA  DE CENTRO POBLADO EL MIRADOR DISTRITO DE BUENOS AIRES DE LA PROVINCIA DE PICOTA DEL DEPARTAMENTO DE SAN MARTIN,2652053,2026-03
ocds-dgv273-seacev3-2026-1868-1,ocds-dgv273-seacev3-2026-1868-1-2026-04-11T10:14:57.264223-05:00,compiled,2026-04-11T10:14:57.264209-05:00,ocds-dgv273-seacev3-2026-1868-1,2026-04-11T10:14:57.264241-05:00,tender,PE-CONSUCODE-1868,MUNICIPALIDAD DISTRITAL DE AGUAS VERDES,Fondos Públicos,1192740,SIE-SIE-1-2026-MDAV-OEC-1,ADQUISICION DE COMBUSTIBLE PARA LAS DIFERENTES UNIDADES MOVILES DE LA MUNICIPALIDAD DISTRITAL DE AGUAS VERDES AÑO 2026,PE-CONSUCODE-1868,MUNICIPALIDAD DISTRITAL DE AGUAS VERDES,2026-03-04T15:55:00-05:00,open,Subasta Inversa Electrónica,goods,goods,469608.0,PEN,Soles,469608.0,2026-03-04T00:00:00-05:00,2026-03-04T00:00:00-05:00,3.0,False,2026-03,añoInicioConvocatoria;mesInicioConvocatoria,469608.0,PEN,Soles,,,,,,2026-03
ocds-dgv273-seacev3-1199771,ocds-dgv273-seacev3-1199771-2026-04-11T10:14:57.118835-05:00,compiled,2026-04-11T10:14:57.118820-05:00,ocds-dgv273-seacev3-1199771,2026-04-11T10:14:57.118840-05:00,tender,PE-CONSUCODE-200062,GOBIERNO REGIONAL DE ICA-HOSPITAL REGIONAL DE ICA,Fondos Públicos,1199771,SIE-SIE-3-2026-DEC-HRI-1,"ADQUISICION DE SULFADIAZINA DE PLATA, 1%, CREMA TOPICA, 400G PARA EL HOSPITAL REGIONAL DE ICA",PE-CONSUCODE-200062,GOBIERNO REGIONAL DE ICA-HOSPITAL REGIONAL DE ICA,2026-03-25T16:14:00-05:00,open,Subasta Inversa Electrónica,goods,goods,77760.0,PEN,Soles,77760.0,2026-03-25T00:00:00-05:00,2026-03-25T00:00:00-05:00,3.0,False,2026-03,añoInicioConvocatoria;mesInicioConvocatoria,,,,,,,,,2026-03
ocds-dgv273-seacev3-1194153,ocds-dgv273-seacev3-1194153-2026-04-11T10:14:56.927517-05:00,compiled,2026-04-11T10:14:56.927501-05:00,ocds-dgv273-seacev3-1194153,2026-04-11T10:14:56.927523-05:00,tender,PE-CONSUCODE-10503,GOBIERNO REGIONAL DE LA LIBERTAD - HOSPITAL REGIONAL DOCENTE DE TRUJILLO,Fondos Públicos,1194153,LP-ABR-1-2026-HRDT-2,SUMINISTRO DE  PAN INDIVIDUAL PARA EL DEPARTAMENTO DE NUTRICIÓN Y DIETÉTICA  DEL HRDT,PE-CONSUCODE-10503,GOBIERNO REGIONAL DE LA LIBERTAD - HOSPITAL REGIONAL DOCENTE DE TRUJILLO,2026-03-09T12:30:00-05:00,,Licitación Pública Abreviada,goods,goods,134640.0,PEN,Soles,134640.0,2026-03-09T00:00:00-05:00,2026-03-09T00:00:00-05:00,1.0,False,2026-03,añoInicioConvocatoria;mesInicioConvocatoria,134640.0,PEN,Soles,2026-03-10T00:01:00-05:00,2026-03-12T23:59:00-05:00,2.0,,,2026-03
ocds-dgv273-seacev3-1197828,ocds-dgv273-seacev3-1197828-2026-04-11T10:14:56.332349-05:00,compiled,2026-04-11T10:14:56.332334-05:00,ocds-dgv273-seacev3-1197828,2026-04-11T10:14:56.332354-05:00,tender,PE-CONSUCODE-270,MUNICIPALIDAD PROVINCIAL DE SANTA - CHIMBOTE,Fondos Públicos,1197828,COMPRE-COMPRE-1-2026-MPS-OC-1,ADQUISICION DE ACCESORIO: CILINDRO HIDRAULICO DOBLE EFECTO DE 5 A 6 CUERPOS PARA USO DEL SEMIREMOLQUE MADRINA DE LA MUNICIPALIDAD PROVINCIAL DEL SANTA - CHIMBOTE,PE-CONSUCODE-270,MUNICIPALIDAD PROVINCIAL DE SANTA - CHIMBOTE,2026-03-18T20:40:00-05:00,open,Comparación de Precios,goods,goods,61900.0,PEN,Soles,61900.0,2026-03-18T00:00:00-05:00,2026-03-18T00:00:00-05:00,3.0,False,2026-03,añoInicioConvocatoria;mesInicioConvocatoria,61900.0,PEN,Soles,,,,,,2026-03
ocds-dgv273-seacev3-1201982,ocds-dgv273-seacev3-1201982-2026-04-11T10:14:56.284324-05:00,compiled,2026-04-11T10:14:56.284309-05:00,ocds-dgv273-seacev3-1201982,2026-04-11T10:14:56.284330-05:00,tender,PE-CONSUCODE-1321,MUNICIPALIDAD DISTRITAL DE LA VICTORIA - LIMA,Fondos Públicos,1201982,DIRECTA-DIRECTA-1-2026-DEC/MLV-1,CONTRATACIÓN DE LA CONTRATACIÓN DEL SERVICIO DE ARRENDAMIENTO DE INMUEBLE PARA LAS OFICINAS ADMINISTRATIVAS Y OPERATIVAS DE LA AGENCIA DESCENTRALIZADA DE GAMARRA Y GERENCIAS DEPENDIENTES ORGÁNICAMENTE DE LA MUNICIPALIDAD DE LA VICTORIA,PE-CONSUCODE-1321,MUNICIPALIDAD DISTRITAL DE LA VICTORIA - LIMA,2026-03-31T18:42:00-05:00,direct,Contratación Directa,services,services,140400.0,PEN,Soles,140400.0,,,1.0,False,2026-03,añoPublicacionProceso;mesPublicacionProceso,140400.0,PEN,Soles,,,,,,2026-03
