Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Contratos:ID del Contrato,Entrega compilada:Contratos:Artículos Contratados:ID,compiledRelease/contracts/0/items/0/totalValue/exchangeRates/0/currency,compiledRelease/contracts/0/items/0/totalValue/exchangeRates/0/rate
ocds-dgv273-seacev3-1197679,ocds-dgv273-seacev3-1197679-2026-03-22T10:01:36.423710-05:00,2382309,21226716,PEN,3.44677272727273
ocds-dgv273-seacev3-1196575,ocds-dgv273-seacev3-1196575-2026-03-21T10:09:42.630962-05:00,2381970,21224144,PEN,3.44677272727273
ocds-dgv273-seacev3-2026-1947-10,ocds-dgv273-seacev3-2026-1947-10-2026-03-20T10:13:19.305760-05:00,2381775,21222295,PEN,3.44677272727273
ocds-dgv273-seacev3-2026-1947-98,ocds-dgv273-seacev3-2026-1947-98-2026-03-19T10:13:22.833411-05:00,2381507,21223262,PEN,3.44677272727273
ocds-dgv273-seacev3-1193331,ocds-dgv273-seacev3-1193331-2026-03-19T10:13:05.142417-05:00,2381540,21216302,PEN,3.44677272727273
ocds-dgv273-seacev3-1196324,ocds-dgv273-seacev3-1196324-2026-03-19T10:12:55.510746-05:00,2381652,21223543,PEN,3.44677272727273
ocds-dgv273-seacev3-1196334,ocds-dgv273-seacev3-1196334-2026-03-19T10:12:41.790912-05:00,2381653,21223694,PEN,3.44677272727273
ocds-dgv273-seacev3-1193525,ocds-dgv273-seacev3-1193525-2026-03-18T10:12:26.382415-05:00,2381352,21216602,PEN,3.98563539545455
ocds-dgv273-seacev3-1195528,ocds-dgv273-seacev3-1195528-2026-03-15T10:15:40.153280-05:00,2380946,21221864,PEN,3.44677272727273
ocds-dgv273-seacev3-2026-1947-110,ocds-dgv273-seacev3-2026-1947-110-2026-03-15T10:15:39.444871-05:00,2381185,21219656,PEN,3.44677272727273
ocds-dgv273-seacev3-1195314,ocds-dgv273-seacev3-1195314-2026-03-15T10:15:34.397367-05:00,2381006,21221563,PEN,3.44677272727273
ocds-dgv273-seacev3-1192583,ocds-dgv273-seacev3-1192583-2026-03-15T10:15:04.327240-05:00,2380550,21214269,PEN,3.44677272727273
ocds-dgv273-seacev3-1195297,ocds-dgv273-seacev3-1195297-2026-03-15T10:14:49.540871-05:00,2380727,21221517,PEN,3.44677272727273
ocds-dgv273-seacev3-2026-1947-78,ocds-dgv273-seacev3-2026-1947-78-2026-03-15T10:14:49.210218-05:00,2380859,21221052,PEN,3.44677272727273
ocds-dgv273-seacev3-1195219,ocds-dgv273-seacev3-1195219-2026-03-15T10:14:16.068095-05:00,2380730,21221107,PEN,3.44677272727273
ocds-dgv273-seacev3-1193972,ocds-dgv273-seacev3-1193972-2026-03-11T10:12:53.329423-05:00,2380155,21217916,PEN,3.44677272727273
ocds-dgv273-seacev3-1192553,ocds-dgv273-seacev3-1192553-2026-03-05T10:10:54.163365-05:00,2379170,21214256,PEN,3.44677272727273
