Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Licitación:ID de licitación,Entrega compilada:Licitación:Artículos que se adquirirán:ID,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificaciones adicionales:ID,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificaciones adicionales:Descripción,Entrega compilada:Licitación:Artículos que se adquirirán:Clasificaciones adicionales:Esquema
ocds-dgv273-seacev3-2026-879-1,ocds-dgv273-seacev3-2026-879-1-2026-04-03T10:07:02.535946-05:00,1185205,21196647,50131702,Leche o productos de mantequilla estables sin refrigerar,UNSPSC
ocds-dgv273-seacev3-1201816,ocds-dgv273-seacev3-1201816-2026-04-03T10:06:58.030525-05:00,1201816,21238829,80101505,Desarrollo de objetivos o políticas corporativas,UNSPSC
ocds-dgv273-seacev3-2026-1212-3,ocds-dgv273-seacev3-2026-1212-3-2026-04-03T10:06:52.755556-05:00,1185881,21197244,72141121,Servicios de construcción de tuberías principales de agua,UNSPSC
ocds-dgv273-seacev3-1185294,ocds-dgv273-seacev3-1185294-2026-04-02T10:14:50.699886-05:00,1185294,21198664,50131702,Leche o productos de mantequilla estables sin refrigerar,UNSPSC
ocds-dgv273-seacev3-2026-1003003812-9,ocds-dgv273-seacev3-2026-1003003812-9-2026-04-02T10:14:50.610483-05:00,1185897,21197271,81112501,Servicio de licencias para software de computadoras,UNSPSC
ocds-dgv273-seacev3-1185650,ocds-dgv273-seacev3-1185650-2026-04-02T10:14:50.560918-05:00,1185650,21197014,72152602,Servicios de canaletas y bajadas de agua,UNSPSC
ocds-dgv273-seacev3-1184414,ocds-dgv273-seacev3-1184414-2026-04-02T10:14:50.469104-05:00,1184414,21194346,72141121,Servicios de construcción de tuberías principales de agua,UNSPSC
ocds-dgv273-seacev3-1185118,ocds-dgv273-seacev3-1185118-2026-04-02T10:14:39.180469-05:00,1185118,21196543,72141505,Servicios de movimientos de tierras,UNSPSC
ocds-dgv273-seacev3-1201675,ocds-dgv273-seacev3-1201675-2026-04-02T10:14:06.973491-05:00,1201675,21238424,80101505,Desarrollo de objetivos o políticas corporativas,UNSPSC
ocds-dgv273-seacev3-2026-200118-2,ocds-dgv273-seacev3-2026-200118-2-2026-04-02T10:14:05.498262-05:00,1185882,21197252,91111603,Servicios de cocina o preparación de comidas,UNSPSC
ocds-dgv273-seacev3-1199862,ocds-dgv273-seacev3-1199862-2026-04-01T10:15:16.695972-05:00,1199862,21232920,80101505,Desarrollo de objetivos o políticas corporativas,UNSPSC
ocds-dgv273-seacev3-2026-1610-6,ocds-dgv273-seacev3-2026-1610-6-2026-04-01T10:15:14.847547-05:00,1185057,21196514,50131702,Leche o productos de mantequilla estables sin refrigerar,UNSPSC
ocds-dgv273-seacev3-2026-1610-6,ocds-dgv273-seacev3-2026-1610-6-2026-04-01T10:15:14.847547-05:00,1185057,21196515,50221101,Granos de cereal,UNSPSC
ocds-dgv273-seacev3-2026-365-2,ocds-dgv273-seacev3-2026-365-2-2026-04-01T10:14:42.100249-05:00,1185370,21196827,72152605,Servicios de montaje y reparación de techos,UNSPSC
ocds-dgv273-seacev3-1200989,ocds-dgv273-seacev3-1200989-2026-04-01T10:14:32.975131-05:00,1200989,21236518,80101505,Desarrollo de objetivos o políticas corporativas,UNSPSC
ocds-dgv273-seacev3-1199756,ocds-dgv273-seacev3-1199756-2026-04-01T10:14:31.362314-05:00,1199756,21232759,80111623,Servicios temporales de contratación y logística,UNSPSC
ocds-dgv273-seacev3-2026-107428-1,ocds-dgv273-seacev3-2026-107428-1-2026-04-01T10:14:30.354401-05:00,1185600,21199106,50221102,Harina de cereales,UNSPSC
ocds-dgv273-seacev3-2026-107428-1,ocds-dgv273-seacev3-2026-107428-1-2026-04-01T10:14:30.354401-05:00,1185600,21199105,50131702,Leche o productos de mantequilla estables sin refrigerar,UNSPSC
