Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Licitación:ID de licitación,Entrega compilada:Licitación:Documentos:ID,Entrega compilada:Licitación:Documentos:URL,Entrega compilada:Licitación:Documentos:Fecha de publicación,Entrega compilada:Licitación:Documentos:Formato,Entrega compilada:Licitación:Documentos:Tipo de Documento,Entrega compilada:Licitación:Documentos:Título,Entrega compilada:Licitación:Documentos:Idioma,Entrega compilada:Licitación:Documentos:Fecha de modificación,Entrega compilada:Licitación:Documentos:Descripción
ocds-dgv273-seacev3-1235823,ocds-dgv273-seacev3-1235823-2026-09-23T10:18:09.449520-05:00,1235823,24831474986102081,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=7fed9c43-cf89-4764-985b-73f385f412d6,2026-09-18T17:17:00-05:00,zip,biddingDocuments,Bases Administrativas,es,,
ocds-dgv273-seacev3-1237889,ocds-dgv273-seacev3-1237889-2026-09-23T10:17:57.571742-05:00,1237889,24831474986044673,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=d6327da7-823a-481a-812e-5d4f6e55f569,2026-07-31T20:06:00-05:00,pdf,biddingDocuments,Bases Administrativas,es,2026-07-31T21:02:51-05:00,
ocds-dgv273-seacev3-1237889,ocds-dgv273-seacev3-1237889-2026-09-23T10:17:57.571742-05:00,1237889,24831474986044775,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=45b6dba1-2c88-4c9b-811d-fd143f4e67e8,2026-07-31T20:58:37-05:00,zip,clarifications,Pliego de absolución de consultas y observaciones,es,2026-07-31T21:02:51-05:00,
ocds-dgv273-seacev3-1237889,ocds-dgv273-seacev3-1237889-2026-09-23T10:17:57.571742-05:00,1237889,24831474986044790,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=ad0048d8-a09f-43f3-9b08-bed11eda556a,2026-07-31T21:02:51-05:00,pdf,biddingDocuments,Bases Integradas,es,2026-07-31T21:02:51-05:00,
ocds-dgv273-seacev3-1237889,ocds-dgv273-seacev3-1237889-2026-09-23T10:17:57.571742-05:00,1237889,24831474986099876,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=fd300703-15f8-4713-acc4-d4ac8ef7d328,2026-09-17T13:17:57-05:00,zip,biddingDocuments,Documentos de Presentación de Propuestas,es,,
ocds-dgv273-seacev3-1237889,ocds-dgv273-seacev3-1237889-2026-09-23T10:17:57.571742-05:00,1237889,24831474986099877,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=6242bd25-4b66-4fe0-8d01-a96b8afce56d,2026-09-17T13:17:57-05:00,zip,awardNotice,Documentos de Otorgamiento de Buena Pro,es,,
ocds-dgv273-seacev3-1181800,ocds-dgv273-seacev3-1181800-2026-09-23T10:17:52.740997-05:00,1181800,24831474985836029,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=b77c2287-c546-46c3-a42f-8f98833be81e,2026-01-20T19:16:00-05:00,pdf,biddingDocuments,Bases Administrativas,es,,
ocds-dgv273-seacev3-1181800,ocds-dgv273-seacev3-1181800-2026-09-23T10:17:52.740997-05:00,1181800,24831474985838964,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=0b5a9926-e1fe-4e6d-95a0-1d3579ccdb7d,2026-01-26T19:08:21-05:00,pdf,clarifications,Acta de no formulación de consultas y observaciones,es,,
ocds-dgv273-seacev3-1181800,ocds-dgv273-seacev3-1181800-2026-09-23T10:17:52.740997-05:00,1181800,24831474985838982,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=ef11c524-05f2-4409-9d6b-bd6c57a80fc2,2026-01-26T19:29:34-05:00,pdf,biddingDocuments,Bases Integradas,es,,
ocds-dgv273-seacev3-1181800,ocds-dgv273-seacev3-1181800-2026-09-23T10:17:52.740997-05:00,1181800,24831474985843992,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=bffd4cf4-9a9e-442c-a315-7e4788384e56,2026-02-03T19:16:19-05:00,zip,biddingDocuments,Documentos de Presentación de Propuestas,es,,
