Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Contratos:ID del Contrato,Entrega compilada:Contratos:Artículos Contratados:ID,compiledRelease/contracts/0/items/0/position,Entrega compilada:Contratos:Artículos Contratados:Descripción,compiledRelease/contracts/0/items/0/statusDetails,compiledRelease/contracts/0/items/0/status,Entrega compilada:Contratos:Artículos Contratados:Clasificación:ID,Entrega compilada:Contratos:Artículos Contratados:Clasificación:Descripción,Entrega compilada:Contratos:Artículos Contratados:Clasificación:Esquema,Entrega compilada:Contratos:Artículos Contratados:Cantidad,compiledRelease/contracts/0/items/0/totalValue/amount,compiledRelease/contracts/0/items/0/totalValue/currency,compiledRelease/contracts/0/items/0/totalValue/currencyName,Entrega compilada:Contratos:Artículos Contratados:Unidad:ID,Entrega compilada:Contratos:Artículos Contratados:Unidad:Nombre,Entrega compilada:Contratos:Artículos Contratados:Unidad:Esquema
ocds-dgv273-seacev3-1185453,ocds-dgv273-seacev3-1185453-2026-04-08T10:12:11.555512-05:00,2384774,21198988,1,"CONTRATACIÓN PARA LA EJECUCIÓN DE LA OBRA: ¿MEJORAMIENTO Y AMPLIACION DE AGUA POTABLE RURAL EN LA LOCALIDAD DE CHACUASCANCHA DE CENTRO POBLADO DE CHACUASCANCHA DISTRITO DE YAUYA, PROVINCIA DE CARLOS FERMÍN FITZCARRALD, DEPARTAMENTO DE ANCASH¿, CON CU",Contratado,active,7214112100337579,AMPLIACION DE SISTEMA DE AGUA POTABLE,CUBSO,1.0,312797.69,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-1926-20,ocds-dgv273-seacev3-2026-1926-20-2026-04-08T10:12:00.281395-05:00,2384761,21197193,1,Servicio de soporte técnico y mantenimiento de la solución de trámite documentario electrónico (AXON),Contratado,active,8116150100284533,SERVICIO DE GESTION DE SISTEMA DE TRAMITE DOCUMENTARIO,CUBSO,1.0,275000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1202862,ocds-dgv273-seacev3-1202862-2026-04-08T10:11:54.904702-05:00,2384799,21240913,1,"ARQUEÓLOGO DEL PLAN DE MONITOREO ARQUEOLÓGICO (PMA) DEL PROYECTO ¿MEJORAMIENTO DEL SERVICIO DE PROVISIÓN DE AGUA PARA RIEGO DEL SISTEMA DE RIEGO PARCELARIO DEL GRUPO DE GESTIÓN EMPRESARIAL ESPERANZA YURAMAYO, EN LA LOCALIDAD DE CUARTA PAMPA DEL DISTR",Contratado,active,8010150500375320,SERVICIO DE ASISTENCIA TECNICA PARA IMPLEMENTAR EL PLAN DE MONITOREO ARQUEOLOGICO,CUBSO,1.0,28000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-119-1,ocds-dgv273-seacev3-2026-119-1-2026-04-03T10:07:22.141250-05:00,2384559,21198556,1,CONTRATACIÓN DEL SUMINISTRO DE BIENES PARA EL PROGRAMA DEL VASO DE LECHE: LECHE EVAPORADA ENTERA 410 GR,Contratado,active,5013170200391307,LECHE EVAPORADA SEMI DESCREMADA X 400 g APROX.,CUBSO,14757.0,59027.8,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1184747,ocds-dgv273-seacev3-1184747-2026-04-03T10:07:21.679448-05:00,2378826,21195535,1,ADQUISICIÓN DE INSUMOS PARA PACIENTES CONTINUADORES SIS DEL PROGRAMA DE DIÁLISIS PERITONEAL-SISTEMA AUTOMATIZADO ANDY DISC 2026 DEL SERVICIO DE NEFROLOGIA - DPTO. AREAS CLINICAS,Contratado,active,,,,1.0,76237.5,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1185780,ocds-dgv273-seacev3-1185780-2026-04-03T10:07:12.031647-05:00,2384401,21197188,1,"ADQUISICION DE TAPAS Y ESCALERAS METALICAS QUE SERAN REEMPLAZADAS EN DECANTADORES, FILTROS Y CAMARA DE CONTACTO EN LA PTAP CURUMUY",Contratado,active,,,,47.0,100200.61,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-879-1,ocds-dgv273-seacev3-2026-879-1-2026-04-03T10:07:02.535946-05:00,2384386,21196647,1,ADQUISICIÓN DE ALIMENTOS (LECHE EVAPORADA ENTERA DE 410 GRAMOS) PARA EL PROGRAMA DEL VASO DE LECHE DE LA MUNICIPALIDAD DISTRITAL DE PAUCARA DEL PERIODO FISCAL 2026.,Contratado,active,5013170200307453,LECHE EVAPORADA ENTERA X 400 g  APROX.,CUBSO,65160.0,245522.88,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1201816,ocds-dgv273-seacev3-1201816-2026-04-03T10:06:58.030525-05:00,2384420,21238829,1,SERVICIO PARA LA ELABORACIÓN DEL MODELO FUNCIONAL DETALLADO PARA LA EXTRACCIÓN DE INFORMACIÓN DE APORTES (HISTORIAS LABORALES),Contratado,active,8010150500297911,SERVICIO DE ELABORACION DE ANALISIS DE ACCIONES PARA COMUNICACION INTERNA,CUBSO,1.0,69752.86,USD,Dólar Norteamericano,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1184395,ocds-dgv273-seacev3-1184395-2026-04-03T10:06:52.615292-05:00,2382461,21194130,5,ITEM PAQUETE 5,Contratado,active,,,,23788.0,48852.8,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1184395,ocds-dgv273-seacev3-1184395-2026-04-03T10:06:52.615292-05:00,2382456,21194091,1,ITEM PAQUETE 1,Contratado,active,,,,279400.0,37345.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1184395,ocds-dgv273-seacev3-1184395-2026-04-03T10:06:52.615292-05:00,2382456,21194102,2,ITEM PAQUETE 2,Contratado,active,,,,93200.0,96700.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1184395,ocds-dgv273-seacev3-1184395-2026-04-03T10:06:52.615292-05:00,2382436,21194124,4,ITEM PAQUETE 4,Contratado,active,,,,10800.0,40260.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1184395,ocds-dgv273-seacev3-1184395-2026-04-03T10:06:52.615292-05:00,2383516,21194115,3,ITEM PAQUETE 3,Contratado,active,,,,157400.0,46803.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1184395,ocds-dgv273-seacev3-1184395-2026-04-03T10:06:52.615292-05:00,2384493,21194151,6,ITEM PAQUETE 6,Contratado,active,,,,655000.0,664600.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1185650,ocds-dgv273-seacev3-1185650-2026-04-02T10:14:50.560918-05:00,2384165,21197014,1,"CONTRATACION DE LA EJECUCION DE OBRA CONSTRUCCION DE COLECTOR DE AGUA PLUVIAL; EN EL(LA) SISTEMA DE ALCANTARILLADO PLUVIAL DEL JR. MARAÑON EN EL CENTRO POBLADO PORVENIR, DISTRITO DE RAPAYAN, PROVINCIA HUARI, DEPARTAMENTO ANCASH CON CUI 2705694",Contratado,active,7215260200233157,CONSTRUCCION DE SISTEMAS DE DRENAJE PLUVIAL,CUBSO,1.0,363793.47,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1184414,ocds-dgv273-seacev3-1184414-2026-04-02T10:14:50.469104-05:00,2375006,21194346,1,"CONTRATACIÓN DE LA EJECUCION DEL SALDO DE OBRA: ¿MEJORAMIENTO Y AMPLIACION DE SANEAMIENTO BÁSICO DE LOS CASERÍOS DE RANRA, RUTUNA, RAYO, YUNCAJ DEL DISTRITO DE POMABAMBA - PROVINCIA DE POMABAMBA - DEPARTAMENTO DE ANCASH¿ CUI N° 2455617",Contratado,active,7214112100356871,CONSTRUCCION DE SISTEMA DE AGUA POTABLE Y SERVICIOS HIGIENICOS CON BIODIGESTORES,CUBSO,1.0,808257.41,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1185118,ocds-dgv273-seacev3-1185118-2026-04-02T10:14:39.180469-05:00,2384267,21196543,1,"SERVICIO DE EJECUCIÓN DE PARTIDAS COMPLEMENTARIAS A TODO COSTO INCLUYE MAQUINARIAS PESADAS, COMBUSTIBLE, OPERADORES Y OTROS PARA EL PROYECTO: ¿CREACION DE CAMINO VECINAL EMP. AY. 102. PACOS - CHAMANA - APACHETA DEL DISTRITO DE CHUNGUI - PROVINCIA DE",Contratado,active,7214150500335559,SERVICIO DE OPERACION DE MAQUINARIA PESADA,CUBSO,1.0,824200.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-200118-2,ocds-dgv273-seacev3-2026-200118-2-2026-04-02T10:14:05.498262-05:00,2384367,21197252,1,CONTRATACIÓN DEL SERVICIO DE PREPARACIÓN Y ATENCIÓN CON ALIMENTOS EN EL COMEDOR ESTUDIANTIL DE LA UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONIA  CORRESPONDIENTE AL AÑO ACADEMICO 2026 I Y 2026 II,Contratado,active,9111160300225304,SERVICIO DE CONCESIONARIO (A) DE ALIMENTOS,CUBSO,1.0,1856850.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1199862,ocds-dgv273-seacev3-1199862-2026-04-01T10:15:16.695972-05:00,2383897,21232920,1,"ARQUEOLOGO DEL PLAN DE MONITOREO ARQUEOLOGICO (PMA)DEL PROYECTO MEJORAMIENTO DEL SERVICIO DE AGUA A NIVEL PARCELARIO CON UN SISTEMA DE RIEGO TECNIFICADO PARA EL GRUPO DE GESTION EMPRESARIAL CARITA, DISTRITO DE HUASAHUASI- PROVINCIA DE TARMA ¿ DEPARTA",Contratado,active,8010150500375320,SERVICIO DE ASISTENCIA TECNICA PARA IMPLEMENTAR EL PLAN DE MONITOREO ARQUEOLOGICO,CUBSO,1.0,21000.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-1610-6,ocds-dgv273-seacev3-2026-1610-6-2026-04-01T10:15:14.847547-05:00,2379123,21196515,1,"HOJUELAS PRECOCIDAS DE AVENA, KIWICHA, HARINA DE MAÍZ BLANCO PRECOCIDO (CHUFLA DE MAÍZ) TARHUI AZUCARADAS FORTIFICADAS CON VITAMINAS Y MINERALES",Contratado,active,5022110100002693,HOJUELA PRECOCIDA DE AVENA,CUBSO,17752.0,136693.79,PEN,Soles,18,Kilogramo,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-1610-6,ocds-dgv273-seacev3-2026-1610-6-2026-04-01T10:15:14.847547-05:00,2384049,21196514,2,ADQUISICION DE LECHE EVAPORADA ENTERA X 410 GR,Contratado,active,5013170200307453,LECHE EVAPORADA ENTERA X 400 g  APROX.,CUBSO,53448.0,220205.76,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
