Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Adjudicaciones:ID de Adjudicación,Entrega compilada:Adjudicaciones:Artículos Adjudicados:ID,compiledRelease/awards/0/items/0/position,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Descripción,compiledRelease/awards/0/items/0/statusDetails,compiledRelease/awards/0/items/0/status,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificación:ID,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificación:Descripción,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificación:Esquema,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Cantidad,compiledRelease/awards/0/items/0/totalValue/amount,compiledRelease/awards/0/items/0/totalValue/currency,compiledRelease/awards/0/items/0/totalValue/currencyName,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Unidad:ID,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Unidad:Nombre,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Unidad:Esquema
ocds-dgv273-seacev3-2026-1289-1,ocds-dgv273-seacev3-2026-1289-1-2026-03-27T10:15:44.383894-05:00,1185469-20396543185,21198983,2,"HOJUELAS DE AVENA, QUINUA, KIWICHA CON HARINA DE TARWI, LECHE ENTERA EN POLVO AZUCARADA CON VITAMINAS Y MINERALES",CONTRATADO,active,5019210900391578,"HOJUELA DE AVENA, QUINUA Y KIWICHA PRECOCIDA ENRIQUECIDA CON VITAMINAS Y MINERALES",CUBSO,20517.0,282108.75,PEN,Soles,18,Kilogramo,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-1289-1,ocds-dgv273-seacev3-2026-1289-1-2026-03-27T10:15:44.383894-05:00,1185469-20608188020,21198982,1,LECHE EVAPORADA ENTERA,CONTRATADO,active,5013170200307453,LECHE EVAPORADA ENTERA X 400 g  APROX.,CUBSO,43147.0,166978.89,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-200199-8,ocds-dgv273-seacev3-2026-200199-8-2026-03-27T10:15:34.523190-05:00,1185424-10010406370,21198928,1,"ADQUISICION DE HORMIGON, PARA LA OBRA REPARACION DE VIAS DE ACCESO EN EL(LA) TRAMO DE CARRETERA SAN LORENZO,  AYACUCHO DE (0 A 8.12 KM), EN EL CENTRO POBLADO SAN LORENZO, DISTRITO DE BARRANCA, PROVINCIA DATEM DEL MARAÑON, DEPARTAMENTO LORETO, CUI: 2701535",CONTRATADO,active,3011150300147573,HORMIGON,CUBSO,8164.0,959268.18,PEN,Soles,26,M3,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1187358,ocds-dgv273-seacev3-1187358-2026-03-26T10:13:17.584551-05:00,1187358-1764887,21200961,1,"CONTRATACION PARA LA EJECUCION DE LA OBRA: IOARR ¿CONSTRUCCION DE OFICINA ADMINISTRATIVA Y AUDITORIO; EN EL(LA) I.E. 80446 RAMON CASTILLA EN EL CENTRO POBLADO PUEBLO LIBRE, DISTRITO DE HUANCASPATA, PROVINCIA PATAZ, DEPARTAMENTO LA LIBERTAD¿, CON CUI N°2709077",CONTRATADO,active,7212110100326463,CONSTRUCCION DE AUDITORIO,CUBSO,1.0,676086.9,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1185034,ocds-dgv273-seacev3-1185034-2026-03-26T10:13:07.983070-05:00,1185034-1762880,21196139,1,EJECUCION DE OBRA: CREACIÓN DE LOS SERVICIOS CULTURALES PARA LA PARTICIPACIÓN DE LA POBLACIÓN EN LAS INDUSTRIAS CULTURALES Y LAS ARTES EN EL CENTRO CULTURAL DEL SECTOR 06 DEL DISTRITO DE LA MOLINA - PROVINCIA DE LIMA- CUI N 2628591.,CONTRATADO,active,7212141100392981,CONSTRUCCION Y EQUIPAMIENTO DE CENTRO CULTURAL,CUBSO,1.0,15667970.85,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-10369-10,ocds-dgv273-seacev3-2026-10369-10-2026-03-26T10:12:46.009036-05:00,1185974-20605064800,21197330,1,SERVICIO DE DESMONTAJE Y REPOSICION DE VIVIENDAS (AMBIENTES AFECTADOS) POR EL PROCESO CONSTRUCTIVO DEL PIP CONTROL DE DESBORDES E INUNDACIONES EN EL RIO ICA Y QUEBRADA CANSAS  CHANCHAJALLA  ITEM III  SECTOR II 2 TRAMO URBANO (PUENTE GRAU  PUENTE CUTERVO) CON C.U.I N 2228738,CONTRATADO,active,7211110900367168,SERVICIO DE MANTENIMIENTO DE INFRAESTRUCTURA DE VIVIENDAS,CUBSO,1.0,906637.27,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1185786,ocds-dgv273-seacev3-1185786-2026-03-26T10:12:45.994026-05:00,1185786-20528115897,21199334,1,EJECUCIÓN DE OBRA: ¿CREACIÓN DE LOS SERVICIOS DE ESPACIOS PUBLICOS URBANOS EN EL PARQUE RECREATIVO LA CA. TUMBES EN AA.HH. MUNICH DE CENTRO POBLADO IQUITOS DISTRITO DE IQUITOS ¿ PROVINCIA DE MAYNAS ¿ DEPARTAMENTO DE LORETO¿ CUI N° 2700836.,CONTRATADO,active,7214112800233081,CONSTRUCCION DE PARQUES Y PLAZAS,CUBSO,1.0,2290000.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-2026-1116-1,ocds-dgv273-seacev3-2026-1116-1-2026-03-26T10:12:36.561679-05:00,1185990-10200257630,21199532,1,CONTRATACION DE SUMINISTRO DE DIESEL B5 S50 Y GASOHOL REGULAR PARA RECOLECION TRASLADO Y DISPOSICION FINAL DE RESIDUOS SOLIDOS MUNICIPALES EN EL DISTRITO DE PERENE - PROVINCIA DE CHANCHAMAYO - DEPARTAMENTO DE JUNIN.,CONTRATADO,active,,,,2.0,373450.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1185985,ocds-dgv273-seacev3-1185985-2026-03-26T10:12:35.696886-05:00,1185985-10200257630,21199522,1,CONTRATACION DE SUMINISTRO DE COMBUSTIBLE DIESEL B5 S-50 Y GASOHOL REGULAR PARA LAS DIFERENTES ÁREAS DE LA MUNICIPALIDAD DISTRITAL DE PERENE.,CONTRATADO,active,,,,2.0,331708.3,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida
ocds-dgv273-seacev3-1185960,ocds-dgv273-seacev3-1185960-2026-03-26T10:12:25.272899-05:00,1185960-20421413216,21197297,1,SERVICIO DE ARREDAMIENTO DE BIEN INMUEBLE PARA LAS OFICINAS PARA EL VICEMINISTERIO Y OTRAS OFICINAS DE LA PCM,CONTRATADO,active,8013150500333297,SERVICIO DE ALQUILER DE OFICINA MODULAR,CUBSO,1.0,1922774.4,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida
